127.0.0.1, 2020-01-20 11:01:25, GET, /admin/default/pack/NE_PAGOS, HTTP/1.1, 200, 0.705552
127.0.0.1, 2020-01-20 11:01:46, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.117783
127.0.0.1, 2020-01-20 11:01:47, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001002
127.0.0.1, 2020-01-20 11:01:59, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.123091
127.0.0.1, 2020-01-20 11:02:00, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2020-01-20 11:02:10, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.114196
127.0.0.1, 2020-01-20 11:02:11, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001304
127.0.0.1, 2020-01-20 11:02:30, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.120277
127.0.0.1, 2020-01-20 11:02:32, GET, /NE_PAGOS/static/images/favicon.ico, HTTP/1.1, 200, 0.001067
127.0.0.1, 2020-01-20 11:02:42, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 303, 0.148755
127.0.0.1, 2020-01-20 11:02:42, GET, /NE_PAGOS/default/user/login, HTTP/1.1, 200, 0.129020
127.0.0.1, 2020-01-20 11:02:44, POST, /NE_PAGOS/default/user/login, HTTP/1.1, 303, 0.146972
127.0.0.1, 2020-01-20 11:02:45, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.146465
127.0.0.1, 2020-01-20 11:02:52, GET, /admin/default/pack/NE_PAGOS, HTTP/1.1, 200, 0.708309
127.0.0.1, 2020-01-20 11:09:11, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 303, 0.105006
127.0.0.1, 2020-01-20 11:09:12, GET, /NE_PAGOS/default/user/login, HTTP/1.1, 200, 0.125888
127.0.0.1, 2020-01-20 11:09:14, POST, /NE_PAGOS/default/user/login, HTTP/1.1, 303, 0.140975
127.0.0.1, 2020-01-20 11:09:14, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.223130
127.0.0.1, 2020-01-20 11:11:20, GET, /NE_PAGOS/default/index, HTTP/1.1, 200, 0.112712
127.0.0.1, 2020-01-20 11:11:23, GET, /NE_PAGOS/default/grupos_manage, HTTP/1.1, 200, 0.156348
127.0.0.1, 2020-01-20 11:11:25, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.194709
127.0.0.1, 2020-01-20 11:11:27, GET, /NE_PAGOS/default/procesos_manage, HTTP/1.1, 200, 0.169995
127.0.0.1, 2020-01-20 11:11:29, GET, /NE_PAGOS/default/pagos_manage, HTTP/1.1, 200, 0.124674
127.0.0.1, 2020-01-20 11:11:31, GET, /NE_PAGOS/default/alumnos_manage, HTTP/1.1, 200, 0.221046
